No.,POLE_NAME,Link Providor,POLE_DESCRIPTION,LAT,LON,CAMERA_NAME,CAMERA_DESCRIPTION,DISTRICT,NVR_IP,nvr_type,NVR_PORT,RTC_ZONE,RTC_PORT,RTC_IP,NVR_CHANNEL_ID,NVR,API,MONITORING_TYPE,NVR_USERNAME,NVR_PASSWORD,NVR RTSP MAIN,NVR RTSP MAIN SUB,LOCATION_ID,THING_ID,FEATUREOFINTEREST_ID,SENSOR_ID,DATASTREAM_ID (Live),,,,check_lat,ckeck_long,check_errornew
234,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C1,สายอักษร-CAM1,บึงกุ่ม,10.89.82.62,554,NVR,CCTV-SYMC-RTC-07,1934,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/101,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
243,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C2,สายอักษร-CAM2,บึงกุ่ม,10.89.82.62,554,NVR,CCTV-SYMC-RTC-07,1903,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/201,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/202,,,,,,ข้อมูลใน rtc ผิด,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
252,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C3,สายอักษร-CAM3,บึงกุ่ม,10.89.82.62,554,NVR,CCTV-SYMC-RTC-07,1912,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/301,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
260,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C4,สายอักษร-CAM4,บึงกุ่ม,10.89.82.62,554,NVR,CCTV-SYMC-RTC-07,1920,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/401,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
268,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C1,สายอักษร-CAM1,บึงกุ่ม,10.89.82.94,554,NVR,CCTV-SYMC-RTC-07,1928,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/101,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
202,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C2,สายอักษร-CAM2,บึงกุ่ม,10.89.82.94,554,NVR,CCTV-SYMC-RTC-07,1902,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/201,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
211,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C3,สายอักษร-CAM3,บึงกุ่ม,10.89.82.94,554,NVR,CCTV-SYMC-RTC-07,1911,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/301,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
219,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C4,สายอักษร-CAM4,บึงกุ่ม,10.89.82.94,554,NVR,CCTV-SYMC-RTC-07,1919,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/401,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
720,AC-BN-04-A,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-A-C01,บางกอกพัฒนา-CAM1,บางนา,10.89.75.62,NVR,554,CCTV-SYMC-RTC-09,1940,10.94.12.194,1,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/101,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
721,AC-BN-04-A,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-A-C02,บางกอกพัฒนา-CAM2,บางนา,10.89.75.62,NVR,554,CCTV-SYMC-RTC-09,1901,10.94.12.194,2,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/201,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
722,AC-BN-04-A,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-A-C03,บางกอกพัฒนา-CAM3,บางนา,10.89.75.62,NVR,554,CCTV-SYMC-RTC-09,1902,10.94.12.194,3,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/301,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
723,AC-BN-04-A,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-A-C04,บางกอกพัฒนา-CAM4,บางนา,10.89.75.62,NVR,554,CCTV-SYMC-RTC-09,1903,10.94.12.194,4,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/401,rtsp://admin:P@ssw0rd@10.89.75.62:554/Streaming/channels/402,,,,,,ข้อมูลใน rtc ผิด,#N/A,,FALSE,FALSE,ข้อมูลใน rtc ผิด
724,AC-BN-04-B,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-B-C01,บางกอกพัฒนา-CAM1,บางนา,10.89.75.94,NVR,554,CCTV-SYMC-RTC-09,1904,10.94.12.194,1,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/101,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
725,AC-BN-04-B,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-B-C02,บางกอกพัฒนา-CAM2,บางนา,10.89.75.94,NVR,554,CCTV-SYMC-RTC-09,1905,10.94.12.194,2,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/201,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
726,AC-BN-04-B,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-B-C03,บางกอกพัฒนา-CAM3,บางนา,10.89.75.94,NVR,554,CCTV-SYMC-RTC-09,1906,10.94.12.194,3,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/301,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
727,AC-BN-04-B,NT,บางกอกพัฒนา,13.66177,100.6214,AC-BN-04-B-C04,บางกอกพัฒนา-CAM4,บางนา,10.89.75.94,NVR,554,CCTV-SYMC-RTC-09,1907,10.94.12.194,4,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/401,rtsp://admin:P@ssw0rd@10.89.75.94:554/Streaming/channels/402,,,,,,ข้อมูลใน rtc ผิด,#N/A,,FALSE,FALSE,ข้อมูลใน rtc ผิด
666,AC-KT-03-A,NT,นานาชาติเอกมัย,13.72989,100.5924,AC-KT-03-A-C01,นานาชาติเอกมัย-CAM1,คลองเตย,10.89.74.254,NVR,554,CCTV-SYMC-RTC-09,1926,10.94.12.194,1,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.74.254:554/Streaming/channels/101,rtsp://admin:P@ssw0rd@10.89.74.254:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
667,AC-KT-03-A,NT,นานาชาติเอกมัย,13.72989,100.5924,AC-KT-03-A-C02,นานาชาติเอกมัย-CAM2,คลองเตย,10.89.74.254,NVR,554,CCTV-SYMC-RTC-09,1927,10.94.12.194,2,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.74.254:554/Streaming/channels/201,rtsp://admin:P@ssw0rd@10.89.74.254:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
668,AC-KT-03-A,NT,นานาชาติเอกมัย,13.72989,100.5924,AC-KT-03-A-C03,นานาชาติเอกมัย-CAM3,คลองเตย,10.89.74.254,NVR,554,CCTV-SYMC-RTC-09,1928,10.94.12.194,3,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.74.254:554/Streaming/channels/301,rtsp://admin:P@ssw0rd@10.89.74.254:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
669,AC-KT-03-B,NT,นานาชาติเอกมัย,13.72989,100.5924,AC-KT-03-B-C01,นานาชาติเอกมัย-CAM1,คลองเตย,10.89.75.30,NVR,554,CCTV-SYMC-RTC-09,1929,10.94.12.194,1,Hikvision,Hikvision-API,api,admin,P@ssw0rd,rtsp://admin:P@ssw0rd@10.89.75.30:554/Streaming/channels/101,rtsp://admin:P@ssw0rd@10.89.75.30:554/Streaming/channels/102,,,,,,ข้อมูลใน rtc ผิด,#N/A,,FALSE,FALSE,ข้อมูลใน rtc ผิด
