No.,POLE_NAME,Link Providor,POLE_DESCRIPTION,LAT,LON,CAMERA_NAME,CAMERA_DESCRIPTION,DISTRICT,NVR_IP,nvr_type,NVR_PORT,RTC_ZONE,RTC_PORT,RTC_IP,NVR_CHANNEL_ID,NVR,API,MONITORING_TYPE,NVR_USERNAME,NVR_PASSWORD,NVR RTSP MAIN,NVR RTSP MAIN SUB,LOCATION_ID,THING_ID,FEATUREOFINTEREST_ID,SENSOR_ID,DATASTREAM_ID (Live),,,,check_lat,ckeck_long,check_errornew
234,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C1,สายอักษร-CAM1,บึงกุ่ม,10.89.82.62,NVR,554,CCTV-SYMC-RTC-07,1934,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/101,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
243,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C2,สายอักษร-CAM2,บึงกุ่ม,10.89.82.62,NVR,554,CCTV-SYMC-RTC-07,1903,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/201,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/202,,,,,,ข้อมูลใน rtc ผิด,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
252,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C3,สายอักษร-CAM3,บึงกุ่ม,10.89.82.62,NVR,554,CCTV-SYMC-RTC-07,1912,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/301,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
260,AC-BK-14-A,NT,สายอักษร,13.84515,100.6481,AC-BK-14-A-C4,สายอักษร-CAM4,บึงกุ่ม,10.89.82.62,NVR,554,CCTV-SYMC-RTC-07,1920,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/401,rtsp://admin:Bma@1234@10.89.82.62:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
268,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C1,สายอักษร-CAM1,บึงกุ่ม,10.89.82.94,NVR,554,CCTV-SYMC-RTC-07,1928,10.94.12.178,1,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/101,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/102,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
202,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C2,สายอักษร-CAM2,บึงกุ่ม,10.89.82.94,NVR,554,CCTV-SYMC-RTC-07,1902,10.94.12.178,2,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/201,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/202,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
211,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C3,สายอักษร-CAM3,บึงกุ่ม,10.89.82.94,NVR,554,CCTV-SYMC-RTC-07,1911,10.94.12.178,3,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/301,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/302,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
219,AC-BK-14-B,NT,สายอักษร,13.84515,100.6481,AC-BK-14-B-C4,สายอักษร-CAM4,บึงกุ่ม,10.89.82.94,NVR,554,CCTV-SYMC-RTC-07,1919,10.94.12.178,4,Hikvision,Hikvision-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/401,rtsp://admin:Bma@1234@10.89.82.94:554/Streaming/channels/402,,,,,,ปกติ,#N/A,,FALSE,FALSE,ปกติ
108,AC-KW-06-A,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-A-C01,บ้านหนองระแหง (ชมแสงประชานุกูล)-A-CAM1,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1928,10.94.12.178,1,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=1&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=1&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
117,AC-KW-06-A,NT,บ้านหนองระแหง (ชมแสงประชานุกูล),13.90113,100.6911,AC-KW-06-A-C02,บ้านหนองระแหง (ชมแสงประชานุกูล)-A-CAM2,คลองสามวา,10.89.1.126,NVR,554,CCTV-SYMC-RTC-07,1937,10.94.12.178,2,Dahua,Dahua-API,api,admin,Bma@1234,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=2&subtype=0,rtsp://admin:Bma@1234@10.89.1.126:554/cam/realmonitor?channel=2&subtype=1,,,,,,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ,#N/A,,FALSE,FALSE,ใช้เวลาตอบสนองนานเกิน-pingไม่เจอ
