CAMERA_NAME,Status,File,Found_Sensor_Name
CM3-KP-108-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-108-C01
CM3-KP-108-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-108-C01
CM3-KP-108-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-108-C02
CM3-KP-108-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-108-C02
CM3-KP-108-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-108-C03
CM3-KP-108-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-108-C03
CM3-KP-117-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-117-C01
CM3-KP-117-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-117-C01
CM3-KP-117-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-117-C02
CM3-KP-117-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-117-C02
CM3-KP-117-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-117-C03
CM3-KP-117-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-117-C03
CM3-KP-133-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-133-C01
CM3-KP-133-C01,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-133-C01
CM3-KP-133-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-133-C02
CM3-KP-133-C02,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-133-C02
CM3-KP-133-C03,Found,สำเนาของ NT_Camera ไม่ได้อัพ 29_01_24 for me - จะอัพ_3-out.csv,CM3-KP-133-C03
